name,country,gender,home_venue
Bath Rugby,England,Men,The Recreation Ground
Bristol Bears,England,Men,Ashton Gate
Exeter Chiefs,England,Men,Sandy Park
Gloucester Rugby,England,Men,Kingsholm
Harlequins,England,Men,Twickenham Stoop
Leicester Tigers,England,Men,Mattioli Woods Welford Road
Newcastle Red Bulls,England,Men,Kingston Park Stadium
Northampton Saints,England,Men,Cinch Stadium
Sale Sharks,England,Men,CorpAcq Stadium
Saracens,England,Men,StoneX Stadium
