competition,season,round,venue,referee,date,kickoff_time,home_team,away_team,home_tries,away_tries,home_score,away_score
PWR,2025/26,1,Twickenham Stoop,Andy Wigley,2025-10-24,19:30,Harlequins Women,Loughborough Lightning,8,6,52,42
PWR,2025/26,1,Trailfinders Sports Club,Nikki O'Donnell ,2025-10-25,15:00,Trailfinders Women,Exeter Chiefs Women,2,4,12,24
PWR,2025/26,1,Morson Stadium,Michael Lamb,2025-10-25,19:00,Sale Sharks Women,Leicester Tigers Women,8,3,46,17
PWR,2025/26,1,Kingsholm,Holly Wood,2025-10-26,15:00,Gloucester-Hartpury,Saracens Women,6,2,40,14
PWR,2025/26,2,Sandy Park,Michael Lamb,2025-11-01,15:00,Exeter Chiefs Women,Gloucester-Hartpury,5,7,31,47
PWR,2025/26,2,Mattioli Woods Welford Road,Holly Wood,2025-11-02,13:00,Leicester Tigers Women,Bristol Bears Women,0,12,0,74
PWR,2025/26,2,Cinch Stadium,Nikki O'Donnell ,2025-11-02,13:00,Loughborough Lightning,Sale Sharks Women,3,2,19,12
PWR,2025/26,2,StoneX Stadium,Richard Gordon,2025-11-02,15:00,Saracens Women,Harlequins Women,7,2,47,10
PWR,2025/26,3,Morson Stadium,Charlie Gayther,2025-11-08,15:00,Sale Sharks Women,Trailfinders Women,4,10,22,64
PWR,2025/26,3,Twickenham Stoop,Henry Pearson,2025-11-09,12:30,Harlequins Women,Gloucester-Hartpury,4,5,26,33
PWR,2025/26,3,Shaftesbury Park,Mike Hudson,2025-11-09,14:30,Bristol Bears Women,Saracens Women,2,5,12,33
PWR,2025/26,3,Cinch Stadium,Holly Wood,2025-11-09,14:30,Loughborough Lightning,Exeter Chiefs Women,5,5,33,33
PWR,2025/26,4,StoneX Stadium,Becky Piddlesden,2025-11-15,15:00,Saracens Women,Leicester Tigers Women,13,1,79,5
PWR,2025/26,4,Trailfinders Sports Club,Benjamin Wood,2025-11-15,15:00,Trailfinders Women,Bristol Bears Women,7,3,45,19
PWR,2025/26,4,Kingsholm,George Ounsley,2025-11-15,15:00,Gloucester-Hartpury,Sale Sharks Women,6,4,40,24
PWR,2025/26,4,Sandy Park,Holly Wood,2025-11-16,12:30,Exeter Chiefs Women,Harlequins Women,4,3,26,19
PWR,2025/26,5,Morson Stadium,Daniel Rowlands,2025-11-29,14:00,Sale Sharks Women,Exeter Chiefs Women,2,4,26,26
PWR,2025/26,5,Cinch Stadium,Samuel Yates,2025-11-29,15:00,Loughborough Lightning,Leicester Tigers Women,4,2,50,15
PWR,2025/26,5,Trailfinders Sports Club,Matt Sharpe,2025-11-29,15:00,Trailfinders Women,Saracens Women,1,5,5,57
PWR,2025/26,5,Ashton Gate,Harry Walbaum,2025-11-30,12:30,Bristol Bears Women,Gloucester-Hartpury,2,8,14,54
PWR,2025/26,6,Sandy Park,Henry Pearson,2025-12-06,13:00,Exeter Chiefs Women,Bristol Bears Women,4,1,41,10
PWR,2025/26,6,Kingsholm,Nikki O'Donnell,2025-12-06,15:05,Gloucester-Hartpury,Trailfinders Women,5,4,29,28
PWR,2025/26,6,Mattioli Woods Welford Road,Andy Wigley,2025-12-06,17:05,Leicester Tigers Women,Harlequins Women,4,8,28,56
