name,country,gender,home_venue
Bristol Bears Women,England,Women,Shaftesbury Park
Exeter Chiefs Women,England,Women,Sandy Park
Gloucester-Hartpury,England,Women,Kingsholm
Harlequins Women,England,Women,Twickenham Stoop
Leicester Tigers Women,England,Women,Mattioli Woods Welford Road
Loughborough Lightning,England,Women,Cinch Stadium
Sale Sharks Women,England,Women,Morson Stadium
Saracens Women,England,Women,StoneX Stadium
Trailfinders Women,England,Women,Trailfinders Sports Club
