name,country,gender,home_venue
All Blacks,New Zealand,Men,Eden Park
Azzurri,Italy,Men,Stadio Olimpico
Brave Blossoms,Japan,Men,Japan National Stadium
England,England,Men,Twickenham Stadium
Flying Fijians,Fiji,Men,HFC Bank Stadium
Ireland,Ireland,Men,Aviva Stadium
Les Bleus,France,Men,Stade de France
Los Pumas,Argentina,Men,Estadio José Amalfitani
Scotland,Scotland,Men,Murrayfield
Springboks,South Africa,Men,Ellis Park Stadium
Wales,Wales,Men,Principality Stadium
Wallabies,Australia,Men,Allianz Stadium Sydney
