name,town_city,country
Allianz Stadium Sydney,Sydney,Australia
Aviva Stadium,Dublin,Ireland
Cardiff City Stadium,Cardiff,Wales
Eden Park,Auckland,New Zealand
Ellis Park Stadium,Johannesburg,South Africa
Estadio José Amalfitani,Buenos Aires,Argentina
Estadio Mario Alberto Kempes,Córdoba,Argentina
Estadio San Juan del Bicentenario,San Juan Province,Argentina
Estadio Unico Madre de Ciudades,Santiago del Estero,Argentina
HBF Park,Perth,Australia
HFC Bank Stadium,Suva,Fiji
Hill Dickinson Stadium,Liverpool,England
Hnry Stadium,Wellington,New Zealand
Hollywoodbets Kings Park,Durban,South Africa
Japan National Stadium,Tokyo,Japan
Loftus Versfeld,Pretoria,South Africa
McDonald Jones Stadium,Newcastle,Australia
Murrayfield,Edinburgh,Scotland
National Olympic Stadium,,
One New Zealand Stadium,Christchurch,New Zealand
Prince Chichibu Memorial Rugby Stadium,Tokyo,Japan
Principality Stadium,Cardiff,Wales
Stade de France,Paris,France
Stadio Olimpico,Rome,Italy
Suncorp Stadium,Brisbane,Australia
Twickenham Stadium,London,England
