competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
Nations Championship Southern Series,2026,1,One New Zealand Stadium,Luke Pearce,2026-07-04,08:10,All Blacks,New Zealand,Les Bleus,France,5,4,34,32
Nations Championship Southern Series,2026,1,Prince Chichibu Memorial Rugby Stadium,Nic Berry,2026-07-04,09:40,Brave Blossoms,Japan,Azzurri,Italy,3,1,27,10
Nations Championship Southern Series,2026,1,Allianz Stadium Sydney,Ben O'Keeffe,2026-07-04,11:10,Wallabies,Australia,Ireland,Ireland,5,5,31,33
Nations Championship Southern Series,2026,1,Cardiff City Stadium,Eoghan Cross,2026-07-04,14:10,Flying Fijians,Fiji,Wales,Wales,3,6,24,39
Nations Championship Southern Series,2026,1,Ellis Park Stadium,James Doleman,2026-07-04,16:40,Springboks,South Africa,England,England,7,3,45,21
Nations Championship Southern Series,2026,1,Estadio Mario Alberto Kempes,Nika Amashukeli,2026-07-04,20:10,Los Pumas,Argentina,Scotland,Scotland,5,7,38,47
Nations Championship Southern Series,2026,2,Hnry Stadium,Luc Ramos,2026-07-11,06:10,All Blacks,New Zealand,Azzurri,Italy,7,2,47,17
Nations Championship Southern Series,2026,2,Suncorp Stadium,Karl Dickson,2026-07-11,08:40,Wallabies,Australia,Les Bleus,France,4,6,26,42
Nations Championship Southern Series,2026,2,McDonald Jones Stadium,Andrea Piardi,2026-07-11,11:10,Brave Blossoms,Japan,Ireland,Ireland,2,5,20,36
Nations Championship Southern Series,2026,2,Hill Dickinson Stadium,Hollie Davidson,2026-07-11,14:10,Flying Fijians,Fiji,England,England,1,11,8,73
Nations Championship Southern Series,2026,2,Loftus Versfeld,Pierre Brousset,2026-07-11,16:40,Springboks,South Africa,Scotland,Scotland,6,4,42,28
Nations Championship Southern Series,2026,2,Estadio San Juan del Bicentenario,Paul Williams,2026-07-11,20:10,Los Pumas,Argentina,Wales,Wales,5,3,35,21
Nations Championship Southern Series,2026,3,Eden Park,Nic Berry,2026-07-18,08:10,All Blacks,New Zealand,Ireland,Ireland,,,,
Nations Championship Southern Series,2026,3,National Olympic Stadium,Ben O'Keeffe,2026-07-18,09:40,Brave Blossoms,Japan,Les Bleus,France,,,,
Nations Championship Southern Series,2026,3,HBF Park,Christophe Ridley,2026-07-18,11:10,Wallabies,Australia,Azzurri,Italy,,,,
Nations Championship Southern Series,2026,3,Murrayfield,Matthew Carley,2026-07-18,14:10,Flying Fijians,Fiji,Scotland,Scotland,,,,
Nations Championship Southern Series,2026,3,Hollywoodbets Kings Park,Andrew Brace,2026-07-18,16:40,Springboks,South Africa,Wales,Wales,,,,
Nations Championship Southern Series,2026,3,Estadio Unico Madre de Ciudades,Angus Gardner,2026-07-18,20:10,Los Pumas,Argentina,England,England,,,,
