name,gender,home_venue
Bristol Bears,Women,Shaftesbury Park
Exeter Chiefs,Women,Sandy Park
Gloucester-Hartpury,Women,Kingsholm
Harlequins,Women,Twickenham Stoop
Leicester Tigers,Women,Mattioli Woods Welford Road
Loughborough Lightning,Women,Cinch Stadium
Sale Sharks,Women,Morson Stadium
Saracens,Women,StoneX Stadium
Trailfinders,Women,Trailfinders Sports Club
