name,town_city,country
Allianz Stadium Twickenham,London,England
Athlone Stadium,Cape Town,South Africa
Aviva Stadium,Dublin,Ireland
BMO Field,Toronto,Canada
Cardiff Arms Park,Cardiff,Wales
CorpAcq Stadium,Stockport,England
Dexcom Stadium,Galway,Ireland
Edinburgh Rugby Stadium,Edinburgh,Scotland
FMG Stadium Waikato,Hamilton,New Zealand
GEODIS Park,Nashville (Tennessee),United States
GIO Stadium,Canberra,Australia
Hive Stadium,Edinburgh,Scotland
One New Zealand Stadium,Christchurch,New Zealand
Prince Chichibu Memorial Rugby Stadium,Tokyo,Japan
Sandy Park,Exeter,England
Semenoff Stadium,Whangārei,New Zealand
Sports Illustrated Stadium,Harrison (New Jersey),United States
Stade de France,Paris,France
Stade de Gerland,Lyon,France
Stade Marcel-Deflandre,La Rochelle,France
Stade Maurice David,Aix-en-Provence,France
Stadio Omero Tognon,Fontanafredda,Italy
Stadio Sergio Lanfranchi,Parma,Italy
Stadium Australia,Sydney,Australia
Tallaght Stadium,Dublin,Ireland
TD Place Stadium,Ottawa,Canada
Texas Health Mansfield Stadium,Mansfield (Texas),United States
Twickenham Stadium,London,England
