name,town_city,country
Allianz Stadium Twickenham,London,England
Ashton Gate,Bristol,England
Cinch Stadium,Northampton,England
Kingsholm,Gloucester,England
Mattioli Woods Welford Road,Leicester,England
Morson Stadium,Sale,England
Principality Stadium,Cardiff,Wales
Sandy Park,Exeter,England
Shaftesbury Park,Bristol,England
StoneX Stadium,London,England
Tottenham Hotspur Stadium,London,England
Trailfinders Sports Club,London,England
Twickenham Stoop,London,England
4ED Hartpury Stadium with Vodafone,Hartpury,England
Burton RFC,Burton upon Trent,England
Goldington Road,Bedford,England
Loughborough University,Loughborough,England
North Bristol RFC,Bristol,England
