competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
JAECOO PWR Next Gen Cup,2026/27,1,North Bristol RFC,,2026-09-19,13:00,Bristol Bears Women,England,Trailfinders Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,1,Twickenham Stoop,,2026-09-19,13:30,Harlequins Women,England,Gloucester-Hartpury,England,,,,
JAECOO PWR Next Gen Cup,2026/27,1,Mattioli Woods Welford Road,,2026-09-19,14:00,Leicester Tigers Women,England,Saracens Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,1,Morson Stadium,,2026-09-19,14:00,Sale Sharks Women,England,Loughborough Lightning,England,,,,
JAECOO PWR Next Gen Cup,2026/27,2,Sandy Park,,2026-09-27,13:00,Exeter Chiefs Women,England,Leicester Tigers Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,2,StoneX Stadium,,2026-09-27,14:00,Saracens Women,England,Sale Sharks Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,3,Goldington Road,,2026-10-02,19:30,Loughborough Lightning,England,Saracens Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,3,North Bristol RFC,,2026-10-03,13:00,Bristol Bears Women,England,Gloucester-Hartpury,England,,,,
JAECOO PWR Next Gen Cup,2026/27,3,Morson Stadium,,2026-10-03,14:00,Sale Sharks Women,England,Exeter Chiefs Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,3,Trailfinders Sports Club,,2026-10-03,15:00,Trailfinders Women,England,Harlequins Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,4,Sandy Park,,2026-10-10,15:00,Exeter Chiefs Women,England,Loughborough Lightning,England,,,,
JAECOO PWR Next Gen Cup,2026/27,4,Burton RFC,,2026-10-10,15:00,Leicester Tigers Women,England,Sale Sharks Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,5,Loughborough University,,2026-10-17,14:00,Loughborough Lightning,England,Leicester Tigers Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,5,StoneX Stadium,,2026-10-17,14:00,Saracens Women,England,Exeter Chiefs Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,5,Twickenham Stoop,,2026-10-17,14:00,Harlequins Women,England,Bristol Bears Women,England,,,,
JAECOO PWR Next Gen Cup,2026/27,5,4ED Hartpury Stadium with Vodafone,,2026-10-18,14:00,Gloucester-Hartpury,England,Trailfinders Women,England,,,,
