name,town_city,country
Kai Tak Youth Sports Ground,Hong Kong,China
Nicolau Alayon Stadium,São Paulo,Brazil
HFC Bank Stadium,Suva,Fiji
Hong Kong Football Club Stadium,Hong Kong,China
National Rugby Centre Amsterdam,Amsterdam,Holland
Apia Park,Apia,Samoa
Estadio Nacional Complutense,Madrid,Spain
