competition,season,round,venue,referee,date,kickoff_time,home_team,home_country,away_team,away_country,home_tries,away_tries,home_score,away_score
WXV Global Series Challenger,2026,1,Kai Tak Youth Sports Ground,Amber Stamp-Dunstan,2026-09-13,,Las Leonas,Spain Women,Fijiana,Fiji Women,4,6,32,38
WXV Global Series Challenger,2026,1,Kai Tak Youth Sports Ground,Precious Pazani,2026-09-13,,Oranje Dames,Netherlands Women,Manu Sina,Samoa Women,12,0,70,0
WXV Global Series Challenger,2026,1,Kai Tak Youth Sports Ground,Hibiki Ikeda,2026-09-13,15:30,Hong Kong China Women,Hong Kong China Women,Yaras,Brazil Women,5,4,29,24
WXV Global Series Challenger,2026,2,Kai Tak Youth Sports Ground,Emma Gallagher,2026-09-19,,Manu Sina,Samoa Women,Las Leonas,Spain Women,3,9,21,61
WXV Global Series Challenger,2026,2,Kai Tak Youth Sports Ground,Giana Viljoen,2026-09-19,,Fijiana,Fiji Women,Hong Kong China Women,Hong Kong China Women,8,4,54,26
WXV Global Series Challenger,2026,2,Kai Tak Youth Sports Ground,Sunny Lee,2026-09-19,,Yaras,Brazil Women,Oranje Dames,Netherlands Women,2,3,15,17
WXV Global Series Challenger,2026,3,Kai Tak Youth Sports Ground,,2026-09-26,,Fijiana,Fiji Women,Oranje Dames,Netherlands Women,,,,
WXV Global Series Challenger,2026,3,Kai Tak Youth Sports Ground,,2026-09-26,,Hong Kong China Women,Hong Kong China Women,Manu Sina,Samoa Women,,,,
WXV Global Series Challenger,2026,3,Kai Tak Youth Sports Ground,,2026-09-26,,Las Leonas,Spain Women,Yaras,Brazil Women,,,,
