name,country,gender,home_venue
Brazil Women,Brazil Women,Women,Nicolau Alayon Stadium
Fiji Women,Fiji Women,Women,HFC Bank Stadium
Hong Kong China Women,Hong Kong China Women,Women,Hong Kong Football Club Stadium
Netherlands Women,Netherlands Women,Women,National Rugby Centre Amsterdam
Samoa Women,Samoa Women,Women,Apia Park
Spain Women,Spain Women,Women,Estadio Nacional Complutense
